source,source_row,source_col,method,metric,train,dataset,value
April29.csv,5,2,categorical,test_f1_binary_end,mix,Adult_mix,0.6261117040199218
April29.csv,5,4,categorical,test_f1_binary_end,synthetic,Adult,0.6069998258749782
April29.csv,5,5,categorical,test_f1_binary_end,synthetic,Census,0.6061543751074437
April29.csv,5,6,categorical,test_f1_binary_end,synthetic,Census_Kdd,0.6072246696035243
April29.csv,5,7,categorical,test_f1_binary_max,mix,Adult_mix,0.6319109461966604
April29.csv,5,9,categorical,test_f1_binary_max,synthetic,Adult,0.6080944350758853
April29.csv,5,10,categorical,test_f1_binary_max,synthetic,Census,0.6076777414357032
April29.csv,5,11,categorical,test_f1_binary_max,synthetic,Census_Kdd,0.6114991939817302
April29.csv,5,12,categorical,test_f1_macro_end,mix,Adult_mix,0.7347982198431702
April29.csv,5,19,categorical,test_f1_macro_end,synthetic,Adult,0.7187076670888153
April29.csv,5,20,categorical,test_f1_macro_end,synthetic,Census,0.7165263753134499
April29.csv,5,21,categorical,test_f1_macro_end,synthetic,Census_Kdd,0.7202976902626278
April29.csv,5,22,categorical,test_f1_macro_end,synthetic,Covertype,0.4801810746254698
April29.csv,5,23,categorical,test_f1_macro_end,synthetic,MNIST12,0.791463152
April29.csv,5,24,categorical,test_f1_macro_end,synthetic,MNIST28,0.8051613021162994
April29.csv,5,25,categorical,test_f1_macro_max,mix,Adult_mix,0.7433453135316489
April29.csv,5,32,categorical,test_f1_macro_max,synthetic,Adult,0.7187076670888153
April29.csv,5,33,categorical,test_f1_macro_max,synthetic,Census,0.7187288961250002
April29.csv,5,34,categorical,test_f1_macro_max,synthetic,Census_Kdd,0.7252313699509958
April29.csv,5,35,categorical,test_f1_macro_max,synthetic,Covertype,0.4803481342357591
April29.csv,5,36,categorical,test_f1_macro_max,synthetic,MNIST12,0.7949670962628057
April29.csv,5,37,categorical,test_f1_macro_max,synthetic,MNIST28,0.8104945617915569
April29.csv,5,38,categorical,test_f1_micro_end,mix,Adult_mix,0.7793407516271258
April29.csv,5,45,categorical,test_f1_micro_end,synthetic,Adult,0.7630694940163762
April29.csv,5,46,categorical,test_f1_micro_end,synthetic,Census,0.7595003149275666
April29.csv,5,47,categorical,test_f1_micro_end,synthetic,Census_Kdd,0.7660088179718665
April29.csv,5,48,categorical,test_f1_micro_end,synthetic,Covertype,0.6309647771572162
April29.csv,5,49,categorical,test_f1_micro_end,synthetic,MNIST12,0.7922
April29.csv,5,50,categorical,test_f1_micro_end,synthetic,MNIST28,0.8084
April29.csv,5,51,categorical,test_f1_micro_max,mix,Adult_mix,0.791727903
April29.csv,5,58,categorical,test_f1_micro_max,synthetic,Adult,0.7634893974385891
April29.csv,5,59,categorical,test_f1_micro_max,synthetic,Census,0.7644341801385681
April29.csv,5,60,categorical,test_f1_micro_max,synthetic,Census_Kdd,0.7723073693050598
April29.csv,5,61,categorical,test_f1_micro_max,synthetic,Covertype,0.6312401573109128
April29.csv,5,62,categorical,test_f1_micro_max,synthetic,MNIST12,0.7957
April29.csv,5,63,categorical,test_f1_micro_max,synthetic,MNIST28,0.8136
April29.csv,6,4,compare_sdv_categorical,test_f1_binary_end,synthetic,Adult,0.6057459328487366
April29.csv,6,5,compare_sdv_categorical,test_f1_binary_end,synthetic,Census,0.6081911262798635
April29.csv,6,6,compare_sdv_categorical,test_f1_binary_end,synthetic,Census_Kdd,0.6085621695377793
April29.csv,6,9,compare_sdv_categorical,test_f1_binary_max,synthetic,Adult,0.6075510910980256
April29.csv,6,10,compare_sdv_categorical,test_f1_binary_max,synthetic,Census,0.6101231190150479
April29.csv,6,11,compare_sdv_categorical,test_f1_binary_max,synthetic,Census_Kdd,0.6096019135486076
April29.csv,6,19,compare_sdv_categorical,test_f1_macro_end,synthetic,Adult,0.7170661259844104
April29.csv,6,20,compare_sdv_categorical,test_f1_macro_end,synthetic,Census,0.7170731252988158
April29.csv,6,21,compare_sdv_categorical,test_f1_macro_end,synthetic,Census_Kdd,0.7172767629855854
April29.csv,6,22,compare_sdv_categorical,test_f1_macro_end,synthetic,Covertype,0.4798331316582189
April29.csv,6,23,compare_sdv_categorical,test_f1_macro_end,synthetic,MNIST12,0.7961158189656352
April29.csv,6,24,compare_sdv_categorical,test_f1_macro_end,synthetic,MNIST28,0.8069919844070228
April29.csv,6,32,compare_sdv_categorical,test_f1_macro_max,synthetic,Adult,0.7184464297183154
April29.csv,6,33,compare_sdv_categorical,test_f1_macro_max,synthetic,Census,0.718724086
April29.csv,6,34,compare_sdv_categorical,test_f1_macro_max,synthetic,Census_Kdd,0.7182413689267395
April29.csv,6,35,compare_sdv_categorical,test_f1_macro_max,synthetic,Covertype,0.4805055294556291
April29.csv,6,36,compare_sdv_categorical,test_f1_macro_max,synthetic,MNIST12,0.7990654773892916
April29.csv,6,37,compare_sdv_categorical,test_f1_macro_max,synthetic,MNIST28,0.8168666543037244
April29.csv,6,45,compare_sdv_categorical,test_f1_micro_end,synthetic,Adult,0.7608650010497585
April29.csv,6,46,compare_sdv_categorical,test_f1_micro_end,synthetic,Census,0.7589754356498005
April29.csv,6,47,compare_sdv_categorical,test_f1_micro_end,synthetic,Census_Kdd,0.7590804115053538
April29.csv,6,48,compare_sdv_categorical,test_f1_micro_end,synthetic,Covertype,0.6312229460513068
April29.csv,6,49,compare_sdv_categorical,test_f1_micro_end,synthetic,MNIST12,0.8007
April29.csv,6,50,compare_sdv_categorical,test_f1_micro_end,synthetic,MNIST28,0.8084
April29.csv,6,58,compare_sdv_categorical,test_f1_micro_max,synthetic,Adult,0.7624396388830569
April29.csv,6,59,compare_sdv_categorical,test_f1_micro_max,synthetic,Census,0.7606550493386521
April29.csv,6,60,compare_sdv_categorical,test_f1_micro_max,synthetic,Census_Kdd,0.76013017
April29.csv,6,61,compare_sdv_categorical,test_f1_micro_max,synthetic,Covertype,0.6316876500606697
April29.csv,6,62,compare_sdv_categorical,test_f1_micro_max,synthetic,MNIST12,0.8034
April29.csv,6,63,compare_sdv_categorical,test_f1_micro_max,synthetic,MNIST28,0.8183
April29.csv,7,4,compare_sdv_gaussian,test_f1_binary_end,synthetic,Adult,0.3232858562437893
April29.csv,7,5,compare_sdv_gaussian,test_f1_binary_end,synthetic,Census,0.3262739907346128
April29.csv,7,6,compare_sdv_gaussian,test_f1_binary_end,synthetic,Census_Kdd,0.3205853009644163
April29.csv,7,9,compare_sdv_gaussian,test_f1_binary_max,synthetic,Adult,0.3814992025518341
April29.csv,7,10,compare_sdv_gaussian,test_f1_binary_max,synthetic,Census,0.4018867924528302
April29.csv,7,11,compare_sdv_gaussian,test_f1_binary_max,synthetic,Census_Kdd,0.393795505
April29.csv,7,19,compare_sdv_gaussian,test_f1_macro_end,synthetic,Adult,0.5979305848299343
April29.csv,7,20,compare_sdv_gaussian,test_f1_macro_end,synthetic,Census,0.599631069
April29.csv,7,21,compare_sdv_gaussian,test_f1_macro_end,synthetic,Census_Kdd,0.5966279574314135
April29.csv,7,22,compare_sdv_gaussian,test_f1_macro_end,synthetic,Covertype,0.3609857698298801
April29.csv,7,23,compare_sdv_gaussian,test_f1_macro_end,synthetic,MNIST12,0.3978987848435641
April29.csv,7,24,compare_sdv_gaussian,test_f1_macro_end,synthetic,MNIST28,0.3638834597293214
April29.csv,7,32,compare_sdv_gaussian,test_f1_macro_max,synthetic,Adult,0.6298398821077321
April29.csv,7,33,compare_sdv_gaussian,test_f1_macro_max,synthetic,Census,0.6410265615489957
April29.csv,7,34,compare_sdv_gaussian,test_f1_macro_max,synthetic,Census_Kdd,0.6366511029849886
April29.csv,7,35,compare_sdv_gaussian,test_f1_macro_max,synthetic,Covertype,0.3651602464704934
April29.csv,7,36,compare_sdv_gaussian,test_f1_macro_max,synthetic,MNIST12,0.4018261464037401
April29.csv,7,37,compare_sdv_gaussian,test_f1_macro_max,synthetic,MNIST28,0.4015969845857017
April29.csv,7,45,compare_sdv_gaussian,test_f1_micro_end,synthetic,Adult,0.7855343271047659
April29.csv,7,46,compare_sdv_gaussian,test_f1_micro_end,synthetic,Census,0.7862691580936385
April29.csv,7,47,compare_sdv_gaussian,test_f1_micro_end,synthetic,Census_Kdd,0.7855343271047659
April29.csv,7,48,compare_sdv_gaussian,test_f1_micro_end,synthetic,Covertype,0.4508231284906586
April29.csv,7,49,compare_sdv_gaussian,test_f1_micro_end,synthetic,MNIST12,0.4826
April29.csv,7,50,compare_sdv_gaussian,test_f1_micro_end,synthetic,MNIST28,0.3788
April29.csv,7,58,compare_sdv_gaussian,test_f1_micro_max,synthetic,Adult,0.7964518160823011
April29.csv,7,59,compare_sdv_gaussian,test_f1_micro_max,synthetic,Census,0.8003359227377703
April29.csv,7,60,compare_sdv_gaussian,test_f1_micro_max,synthetic,Census_Kdd,0.7989712366155785
April29.csv,7,61,compare_sdv_gaussian,test_f1_micro_max,synthetic,Covertype,0.4531380429076702
April29.csv,7,62,compare_sdv_gaussian,test_f1_micro_max,synthetic,MNIST12,0.4868
April29.csv,7,63,compare_sdv_gaussian,test_f1_micro_max,synthetic,MNIST28,0.4051
April29.csv,8,4,compare_sdv_pca_gmm,test_f1_binary_end,synthetic,Adult,0.6255629756173319
April29.csv,8,5,compare_sdv_pca_gmm,test_f1_binary_end,synthetic,Census,0.633290406
April29.csv,8,6,compare_sdv_pca_gmm,test_f1_binary_end,synthetic,Census_Kdd,0.6330423537019075
April29.csv,8,9,compare_sdv_pca_gmm,test_f1_binary_max,synthetic,Adult,0.6387485742219325
April29.csv,8,10,compare_sdv_pca_gmm,test_f1_binary_max,synthetic,Census,0.6421804886155892
April29.csv,8,11,compare_sdv_pca_gmm,test_f1_binary_max,synthetic,Census_Kdd,0.6408894789246599
April29.csv,8,19,compare_sdv_pca_gmm,test_f1_macro_end,synthetic,Adult,0.7172054947855945
April29.csv,8,20,compare_sdv_pca_gmm,test_f1_macro_end,synthetic,Census,0.7279380377241917
April29.csv,8,21,compare_sdv_pca_gmm,test_f1_macro_end,synthetic,Census_Kdd,0.7283041707884634
April29.csv,8,22,compare_sdv_pca_gmm,test_f1_macro_end,synthetic,Covertype,0.4855231191601863
April29.csv,8,23,compare_sdv_pca_gmm,test_f1_macro_end,synthetic,MNIST12,0.7946713220102058
April29.csv,8,24,compare_sdv_pca_gmm,test_f1_macro_end,synthetic,MNIST28,0.76696388
April29.csv,8,32,compare_sdv_pca_gmm,test_f1_macro_max,synthetic,Adult,0.7335438573780975
April29.csv,8,33,compare_sdv_pca_gmm,test_f1_macro_max,synthetic,Census,0.7385048971654855
April29.csv,8,34,compare_sdv_pca_gmm,test_f1_macro_max,synthetic,Census_Kdd,0.7373800995114624
April29.csv,8,35,compare_sdv_pca_gmm,test_f1_macro_max,synthetic,Covertype,0.4977414989490513
April29.csv,8,36,compare_sdv_pca_gmm,test_f1_macro_max,synthetic,MNIST12,0.799049102
April29.csv,8,37,compare_sdv_pca_gmm,test_f1_macro_max,synthetic,MNIST28,0.7768115553102355
April29.csv,8,45,compare_sdv_pca_gmm,test_f1_micro_end,synthetic,Adult,0.746903212
April29.csv,8,46,compare_sdv_pca_gmm,test_f1_micro_end,synthetic,Census,0.7608650010497585
April29.csv,8,47,compare_sdv_pca_gmm,test_f1_micro_end,synthetic,Census_Kdd,0.7617048078941844
April29.csv,8,48,compare_sdv_pca_gmm,test_f1_micro_end,synthetic,Covertype,0.6879770746022048
April29.csv,8,49,compare_sdv_pca_gmm,test_f1_micro_end,synthetic,MNIST12,0.7994
April29.csv,8,50,compare_sdv_pca_gmm,test_f1_micro_end,synthetic,MNIST28,0.7685
April29.csv,8,58,compare_sdv_pca_gmm,test_f1_micro_max,synthetic,Adult,0.7672685282385051
April29.csv,8,59,compare_sdv_pca_gmm,test_f1_micro_max,synthetic,Census,0.774721814
April29.csv,8,60,compare_sdv_pca_gmm,test_f1_micro_max,synthetic,Census_Kdd,0.7732521520050388
April29.csv,8,61,compare_sdv_pca_gmm,test_f1_micro_max,synthetic,Covertype,0.6941042830219529
April29.csv,8,62,compare_sdv_pca_gmm,test_f1_micro_max,synthetic,MNIST12,0.8035
April29.csv,8,63,compare_sdv_pca_gmm,test_f1_micro_max,synthetic,MNIST28,0.7781
April29.csv,9,4,compare_sdv_rf,test_f1_binary_end,synthetic,Adult,0.5872722471613414
April29.csv,9,5,compare_sdv_rf,test_f1_binary_end,synthetic,Census,0.6012115093387178
April29.csv,9,6,compare_sdv_rf,test_f1_binary_end,synthetic,Census_Kdd,0.5942915392456677
April29.csv,9,9,compare_sdv_rf,test_f1_binary_max,synthetic,Adult,0.644044637
April29.csv,9,10,compare_sdv_rf,test_f1_binary_max,synthetic,Census,0.6656176239181747
April29.csv,9,11,compare_sdv_rf,test_f1_binary_max,synthetic,Census_Kdd,0.660759494
April29.csv,9,19,compare_sdv_rf,test_f1_macro_end,synthetic,Adult,0.7424405782154562
April29.csv,9,20,compare_sdv_rf,test_f1_macro_end,synthetic,Census,0.7482532033108433
April29.csv,9,21,compare_sdv_rf,test_f1_macro_end,synthetic,Census_Kdd,0.7445281070104595
April29.csv,9,22,compare_sdv_rf,test_f1_macro_end,synthetic,Covertype,0.6303536041873461
April29.csv,9,23,compare_sdv_rf,test_f1_macro_end,synthetic,MNIST12,0.873409404
April29.csv,9,24,compare_sdv_rf,test_f1_macro_end,synthetic,MNIST28,0.8711462608676582
April29.csv,9,32,compare_sdv_rf,test_f1_macro_max,synthetic,Adult,0.7687176324771305
April29.csv,9,33,compare_sdv_rf,test_f1_macro_max,synthetic,Census,0.7743844958620149
April29.csv,9,34,compare_sdv_rf,test_f1_macro_max,synthetic,Census_Kdd,0.7742031118438276
April29.csv,9,35,compare_sdv_rf,test_f1_macro_max,synthetic,Covertype,0.6304821161853542
April29.csv,9,36,compare_sdv_rf,test_f1_macro_max,synthetic,MNIST12,0.8750969956702879
April29.csv,9,37,compare_sdv_rf,test_f1_macro_max,synthetic,MNIST28,0.8749029796028042
April29.csv,9,45,compare_sdv_rf,test_f1_micro_end,synthetic,Adult,0.8359227377703128
April29.csv,9,46,compare_sdv_rf,test_f1_micro_end,synthetic,Census,0.834138148
April29.csv,9,47,compare_sdv_rf,test_f1_micro_end,synthetic,Census_Kdd,0.8328784379592694
April29.csv,9,48,compare_sdv_rf,test_f1_micro_end,synthetic,Covertype,0.7799196234176399
April29.csv,9,49,compare_sdv_rf,test_f1_micro_end,synthetic,MNIST12,0.8749
April29.csv,9,50,compare_sdv_rf,test_f1_micro_end,synthetic,MNIST28,0.8706
April29.csv,9,58,compare_sdv_rf,test_f1_micro_max,synthetic,Adult,0.8410665546924208
April29.csv,9,59,compare_sdv_rf,test_f1_micro_max,synthetic,Census,0.8422212891035062
April29.csv,9,60,compare_sdv_rf,test_f1_micro_max,synthetic,Census_Kdd,0.842116313
April29.csv,9,61,compare_sdv_rf,test_f1_micro_max,synthetic,Covertype,0.7808920595853808
April29.csv,9,62,compare_sdv_rf,test_f1_micro_max,synthetic,MNIST12,0.8766
April29.csv,9,63,compare_sdv_rf,test_f1_micro_max,synthetic,MNIST28,0.8744
April29.csv,10,6,compare_sdv_tvae_categoricalNB,test_f1_binary_end,synthetic,Census_Kdd,0.6044474393530997
April29.csv,10,11,compare_sdv_tvae_categoricalNB,test_f1_binary_max,synthetic,Census_Kdd,0.6057546693589096
April29.csv,10,19,compare_sdv_tvae_categoricalNB,test_f1_macro_end,synthetic,Adult,0.7128734645945641
April29.csv,10,20,compare_sdv_tvae_categoricalNB,test_f1_macro_end,synthetic,Census,0.7121166376799553
April29.csv,10,21,compare_sdv_tvae_categoricalNB,test_f1_macro_end,synthetic,Census_Kdd,0.7127147230312312
April29.csv,10,22,compare_sdv_tvae_categoricalNB,test_f1_macro_end,synthetic,Covertype,0.490489877
April29.csv,10,23,compare_sdv_tvae_categoricalNB,test_f1_macro_end,synthetic,MNIST12,0.8093031026565743
April29.csv,10,24,compare_sdv_tvae_categoricalNB,test_f1_macro_end,synthetic,MNIST28,0.8285627200954797
April29.csv,10,32,compare_sdv_tvae_categoricalNB,test_f1_macro_max,synthetic,Adult,0.713755799
April29.csv,10,33,compare_sdv_tvae_categoricalNB,test_f1_macro_max,synthetic,Census,0.7139286074592206
April29.csv,10,34,compare_sdv_tvae_categoricalNB,test_f1_macro_max,synthetic,Census_Kdd,0.7138453212749053
April29.csv,10,35,compare_sdv_tvae_categoricalNB,test_f1_macro_max,synthetic,Covertype,0.4906651132544689
April29.csv,10,36,compare_sdv_tvae_categoricalNB,test_f1_macro_max,synthetic,MNIST12,0.8129681964715146
April29.csv,10,37,compare_sdv_tvae_categoricalNB,test_f1_macro_max,synthetic,MNIST28,0.8322378836697109
April29.csv,10,45,compare_sdv_tvae_categoricalNB,test_f1_micro_end,synthetic,Adult,0.7535166911610329
April29.csv,10,46,compare_sdv_tvae_categoricalNB,test_f1_micro_end,synthetic,Census,0.7525719084610539
April29.csv,10,47,compare_sdv_tvae_categoricalNB,test_f1_micro_end,synthetic,Census_Kdd,0.7535166911610329
April29.csv,10,48,compare_sdv_tvae_categoricalNB,test_f1_micro_end,synthetic,Covertype,0.6347
April29.csv,10,49,compare_sdv_tvae_categoricalNB,test_f1_micro_end,synthetic,MNIST12,0.812
April29.csv,10,50,compare_sdv_tvae_categoricalNB,test_f1_micro_end,synthetic,MNIST28,0.831
April29.csv,10,58,compare_sdv_tvae_categoricalNB,test_f1_micro_max,synthetic,Adult,0.7543564980054588
April29.csv,10,59,compare_sdv_tvae_categoricalNB,test_f1_micro_max,synthetic,Census,0.7546714255721184
April29.csv,10,60,compare_sdv_tvae_categoricalNB,test_f1_micro_max,synthetic,Census_Kdd,0.754986353
April29.csv,10,61,compare_sdv_tvae_categoricalNB,test_f1_micro_max,synthetic,Covertype,0.635
April29.csv,10,62,compare_sdv_tvae_categoricalNB,test_f1_micro_max,synthetic,MNIST12,0.8154
April29.csv,10,63,compare_sdv_tvae_categoricalNB,test_f1_micro_max,synthetic,MNIST28,0.8347
April29.csv,11,6,compare_sdv_tvae_gaussianNB,test_f1_binary_end,synthetic,Census_Kdd,0.3319064866644715
April29.csv,11,11,compare_sdv_tvae_gaussianNB,test_f1_binary_max,synthetic,Census_Kdd,0.3883248730964467
April29.csv,11,19,compare_sdv_tvae_gaussianNB,test_f1_macro_end,synthetic,Adult,0.6002747859716371
April29.csv,11,20,compare_sdv_tvae_gaussianNB,test_f1_macro_end,synthetic,Census,0.6003994756881593
April29.csv,11,21,compare_sdv_tvae_gaussianNB,test_f1_macro_end,synthetic,Census_Kdd,0.6026063810156576
April29.csv,11,22,compare_sdv_tvae_gaussianNB,test_f1_macro_end,synthetic,Covertype,0.3733258450846893
April29.csv,11,23,compare_sdv_tvae_gaussianNB,test_f1_macro_end,synthetic,MNIST12,0.3980041428599746
April29.csv,11,24,compare_sdv_tvae_gaussianNB,test_f1_macro_end,synthetic,MNIST28,0.4371185760014226
April29.csv,11,32,compare_sdv_tvae_gaussianNB,test_f1_macro_max,synthetic,Adult,0.6342046824960796
April29.csv,11,33,compare_sdv_tvae_gaussianNB,test_f1_macro_max,synthetic,Census,0.6395166837847434
April29.csv,11,34,compare_sdv_tvae_gaussianNB,test_f1_macro_max,synthetic,Census_Kdd,0.6335335057306133
April29.csv,11,35,compare_sdv_tvae_gaussianNB,test_f1_macro_max,synthetic,Covertype,0.379948622
April29.csv,11,36,compare_sdv_tvae_gaussianNB,test_f1_macro_max,synthetic,MNIST12,0.4038516591998338
April29.csv,11,37,compare_sdv_tvae_gaussianNB,test_f1_macro_max,synthetic,MNIST28,0.4407853126919483
April29.csv,11,45,compare_sdv_tvae_gaussianNB,test_f1_micro_end,synthetic,Adult,0.7862691580936385
April29.csv,11,46,compare_sdv_tvae_gaussianNB,test_f1_micro_end,synthetic,Census,0.7861641822380853
April29.csv,11,47,compare_sdv_tvae_gaussianNB,test_f1_micro_end,synthetic,Census_Kdd,0.787003989
April29.csv,11,48,compare_sdv_tvae_gaussianNB,test_f1_micro_end,synthetic,Covertype,0.4586
April29.csv,11,49,compare_sdv_tvae_gaussianNB,test_f1_micro_end,synthetic,MNIST12,0.4731
April29.csv,11,50,compare_sdv_tvae_gaussianNB,test_f1_micro_end,synthetic,MNIST28,0.5138
